active_probability,method,trials,mean_total_cost,median_total_cost,p25_total_cost,p75_total_cost,mean_invalid_executions,mean_edge_checks,mean_expansions,success_rate
0.00,acs,180,20.19227741111111,20.160206000000002,19.45387625,20.94606975,0.0,0.0,134.11666666666667,1.0
0.00,blind_repair,180,15.792277411111119,15.760206,15.05387625,16.54606975,0.0,0.0,134.11666666666667,1.0
0.00,edge_verifier,180,128.28727741111112,128.7413535,126.48364175,130.3690775,0.0,624.9722222222222,134.11666666666667,1.0
0.00,family_repair,180,15.792277411111119,15.760206,15.05387625,16.54606975,0.0,0.0,134.11666666666667,1.0
0.00,oracle_signature,180,15.792277411111119,15.760206,15.05387625,16.54606975,0.0,0.0,134.11666666666667,1.0
0.10,acs,180,20.702749088888883,20.596269999999997,19.8769685,21.45869275,0.0,0.0,130.86111111111111,1.0
0.10,blind_repair,180,61.30991575555557,17.018587500000002,15.70141225,61.53232775,2.033333333333333,0.0,411.1,1.0
0.10,edge_verifier,180,125.5527490888889,127.1976715,122.78899200000001,129.946522,0.0,606.9444444444445,130.86111111111111,1.0
0.10,family_repair,180,28.304082422222244,17.018587500000002,15.70141225,38.4995695,0.5444444444444444,0.0,204.23888888888888,1.0
0.10,oracle_signature,180,16.30274908888889,16.19627,15.4769685,17.05869275,0.0,0.0,130.86111111111111,1.0
0.20,acs,180,21.552724577777767,21.046672,20.1766365,22.15469125,0.0,0.0,126.74444444444444,1.0
0.20,blind_repair,180,173.05705791111103,81.9327825,16.77915525,217.97499625,7.055555555555555,0.0,1090.2222222222222,1.0
0.20,edge_verifier,180,122.69272457777782,123.75915,118.84182025,128.068675,0.0,586.3333333333334,126.74444444444444,1.0
0.20,family_repair,180,46.24105791111113,39.0725085,16.77915525,61.94469124999999,1.3222222222222222,0.0,303.02222222222224,1.0
0.20,oracle_signature,180,17.152724577777782,16.646672000000002,15.7766365,17.75469125,0.0,0.0,126.74444444444444,1.0
0.35,acs,180,22.91673517222221,22.012515,20.530953,24.232754749999998,0.0,0.0,113.63333333333334,1.0
0.35,blind_repair,180,415.8229018388891,261.01049,83.5452385,566.3982627500001,18.083333333333332,0.0,2507.1722222222224,1.0
0.35,edge_verifier,180,113.37173517222215,116.786168,106.255845,123.12411474999999,0.0,526.9722222222222,113.63333333333334,1.0
0.35,family_repair,180,70.90073517222224,65.160757,39.9739055,87.5566285,2.4,0.0,419.76666666666665,1.0
0.35,oracle_signature,180,18.516735172222216,17.612515000000002,16.130953,19.83275475,0.0,0.0,113.63333333333334,1.0
0.50,acs,180,26.80736777777777,24.0058745,21.33359175,29.03830625,0.0,0.0,105.58333333333333,1.0
0.50,blind_repair,180,822.6285344444445,653.747786,234.67029674999998,1215.84200625,36.78333333333333,0.0,4709.622222222222,1.0
0.50,edge_verifier,180,109.23736777777785,112.392763,99.30046924999999,120.38508775,0.0,482.3888888888889,105.58333333333333,1.0
0.50,family_repair,180,95.78820111111115,97.3478385,62.137609999999995,116.3535525,3.3777777777777778,0.0,524.9444444444445,1.0
0.50,oracle_signature,180,22.40736777777778,19.6058745,16.93359175,24.63830625,0.0,0.0,105.58333333333333,1.0
0.65,acs,180,33.2053853722222,31.506551,25.7316595,37.9717285,0.0,0.0,86.21111111111111,1.0
0.65,blind_repair,180,1383.4162187055558,1447.3753615,737.9277320000001,1929.7912297500002,62.76111111111111,0.0,7583.238888888889,1.0
0.65,edge_verifier,180,98.84538537222217,97.23648850000001,85.39475900000001,112.979196,0.0,389.1111111111111,86.21111111111111,1.0
0.65,family_repair,180,130.25255203888898,134.93654700000002,107.61092525,158.114217,4.711111111111111,0.0,641.1166666666667,1.0
0.65,oracle_signature,180,28.80538537222223,27.106551,21.3316595,33.5717285,0.0,0.0,86.21111111111111,1.0
