scenario,active_probability,repeat,trial,false_negative_rate,false_positive_rate,active_family_count,success,total_cost,path_cost,expansions,invalid_executions,missed_active_families,false_positive_families
exact,0.35,0,0,0.00,0.00,3,true,24.684487,16.564487,124,0,0,0
exact,0.35,0,1,0.00,0.00,3,true,20.395299,12.935299,102,0,0,0
exact,0.35,0,2,0.00,0.00,3,true,23.190357,15.220357,119,0,0,0
exact,0.35,0,3,0.00,0.00,1,true,20.647799,12.527799,124,0,0,0
exact,0.35,0,4,0.00,0.00,2,true,22.977946,14.857946,124,0,0,0
exact,0.35,0,5,0.00,0.00,1,true,20.591637,12.441637,125,0,0,0
exact,0.35,0,6,0.00,0.00,1,true,21.065196,12.885196,126,0,0,0
exact,0.35,0,7,0.00,0.00,5,true,31.547894,24.897894,75,0,0,0
exact,0.35,0,8,0.00,0.00,3,true,23.037163,14.767163,129,0,0,0
exact,0.35,0,9,0.00,0.00,3,true,20.461858,12.671858,113,0,0,0
exact,0.35,0,10,0.00,0.00,1,true,21.747775,13.297775,135,0,0,0
exact,0.35,0,11,0.00,0.00,2,true,19.891881,11.561881,131,0,0,0
exact,0.35,0,12,0.00,0.00,3,true,21.583295,13.913295,109,0,0,0
exact,0.35,0,13,0.00,0.00,3,true,28.582791,20.072791,137,0,0,0
exact,0.35,0,14,0.00,0.00,4,true,27.902273,19.632273,129,0,0,0
exact,0.35,0,15,0.00,0.00,6,true,35.234390,28.404390,81,0,0,0
exact,0.35,0,16,0.00,0.00,3,true,22.770801,14.980801,113,0,0,0
exact,0.35,0,17,0.00,0.00,2,true,19.719800,11.869800,115,0,0,0
exact,0.35,0,18,0.00,0.00,3,true,21.251325,13.071325,126,0,0,0
exact,0.35,0,19,0.00,0.00,2,true,21.438605,12.928605,137,0,0,0
exact,0.35,0,20,0.00,0.00,4,true,21.662643,14.352643,97,0,0,0
exact,0.35,0,21,0.00,0.00,1,true,21.937809,13.247809,143,0,0,0
exact,0.35,0,22,0.00,0.00,1,true,20.747975,12.507975,128,0,0,0
exact,0.35,0,23,0.00,0.00,3,true,23.209178,14.909178,130,0,0,0
exact,0.35,0,24,0.00,0.00,0,true,19.304236,11.064236,128,0,0,0
exact,0.35,0,25,0.00,0.00,2,true,21.356054,12.996054,132,0,0,0
exact,0.35,0,26,0.00,0.00,4,true,26.986934,18.926934,122,0,0,0
exact,0.35,0,27,0.00,0.00,3,true,21.102888,12.952888,125,0,0,0
exact,0.35,0,28,0.00,0.00,3,true,26.093670,17.733670,132,0,0,0
exact,0.35,0,29,0.00,0.00,1,true,20.733735,12.523735,127,0,0,0
exact,0.35,0,30,0.00,0.00,2,true,20.510558,12.360558,125,0,0,0
exact,0.35,0,31,0.00,0.00,1,true,20.028196,11.818196,127,0,0,0
exact,0.35,0,32,0.00,0.00,2,true,20.219044,12.219044,120,0,0,0
exact,0.35,0,33,0.00,0.00,1,true,19.923086,11.743086,126,0,0,0
exact,0.35,0,34,0.00,0.00,2,true,23.551670,14.951670,140,0,0,0
exact,0.35,0,35,0.00,0.00,3,true,20.597167,13.257167,98,0,0,0
exact,0.35,0,36,0.00,0.00,4,true,24.296222,17.676222,74,0,0,0
exact,0.35,0,37,0.00,0.00,1,true,23.552320,15.042320,137,0,0,0
exact,0.35,0,38,0.00,0.00,4,true,21.172530,14.402530,79,0,0,0
exact,0.35,0,39,0.00,0.00,2,true,25.742079,17.832079,117,0,0,0
exact,0.35,0,40,0.00,0.00,3,true,21.995645,14.235645,112,0,0,0
exact,0.35,0,41,0.00,0.00,3,true,23.444915,15.084915,132,0,0,0
exact,0.35,0,42,0.00,0.00,3,true,21.242841,13.542841,110,0,0,0
exact,0.35,0,43,0.00,0.00,1,true,21.181726,12.851726,131,0,0,0
exact,0.35,0,44,0.00,0.00,1,true,21.228046,13.228046,120,0,0,0
exact,0.35,0,45,0.00,0.00,4,true,22.407262,15.397262,87,0,0,0
exact,0.35,0,46,0.00,0.00,4,true,22.842469,15.652469,93,0,0,0
exact,0.35,0,47,0.00,0.00,1,true,19.976411,11.796411,126,0,0,0
exact,0.35,0,48,0.00,0.00,3,true,23.290149,15.260149,121,0,0,0
exact,0.35,0,49,0.00,0.00,1,true,22.140646,13.960646,126,0,0,0
exact,0.35,0,50,0.00,0.00,1,true,20.755436,12.215436,138,0,0,0
exact,0.35,0,51,0.00,0.00,2,true,21.861877,13.321877,138,0,0,0
exact,0.35,0,52,0.00,0.00,2,true,20.318282,12.348282,119,0,0,0
exact,0.35,0,53,0.00,0.00,3,true,20.803278,13.583278,94,0,0,0
exact,0.35,0,54,0.00,0.00,2,true,22.124159,13.644159,136,0,0,0
exact,0.35,0,55,0.00,0.00,4,true,26.312364,18.282364,121,0,0,0
exact,0.35,0,56,0.00,0.00,2,true,20.363413,12.453413,117,0,0,0
exact,0.35,0,57,0.00,0.00,1,true,22.957610,14.297610,142,0,0,0
exact,0.35,0,58,0.00,0.00,5,true,23.309461,16.389461,84,0,0,0
exact,0.35,0,59,0.00,0.00,3,true,22.077571,14.077571,120,0,0,0
exact,0.35,0,60,0.00,0.00,2,true,21.449711,13.329711,124,0,0,0
exact,0.35,0,61,0.00,0.00,5,true,24.854245,18.264245,73,0,0,0
exact,0.35,0,62,0.00,0.00,2,true,21.261135,13.051135,127,0,0,0
exact,0.35,0,63,0.00,0.00,2,true,21.701292,13.941292,112,0,0,0
exact,0.35,0,64,0.00,0.00,4,true,21.304733,14.804733,70,0,0,0
exact,0.35,0,65,0.00,0.00,1,true,25.348395,16.718395,141,0,0,0
exact,0.35,0,66,0.00,0.00,3,true,22.172639,14.472639,110,0,0,0
exact,0.35,0,67,0.00,0.00,2,true,21.521382,13.101382,134,0,0,0
exact,0.35,0,68,0.00,0.00,4,true,38.245429,31.145429,90,0,0,0
exact,0.35,0,69,0.00,0.00,1,true,23.540354,14.910354,141,0,0,0
exact,0.35,0,70,0.00,0.00,4,true,28.168049,20.018049,125,0,0,0
exact,0.35,0,71,0.00,0.00,4,true,28.275351,20.815351,102,0,0,0
exact,0.35,0,72,0.00,0.00,6,true,39.746654,33.156654,73,0,0,0
exact,0.35,0,73,0.00,0.00,7,true,59.370670,53.500670,49,0,0,0
exact,0.35,0,74,0.00,0.00,1,true,24.102661,15.472661,141,0,0,0
exact,0.35,0,75,0.00,0.00,5,true,33.064322,25.634322,101,0,0,0
exact,0.35,0,76,0.00,0.00,4,true,23.064356,15.394356,109,0,0,0
exact,0.35,0,77,0.00,0.00,2,true,21.405448,13.615448,113,0,0,0
exact,0.35,0,78,0.00,0.00,5,true,22.815291,15.805291,87,0,0,0
exact,0.35,0,79,0.00,0.00,2,true,21.641430,13.311430,131,0,0,0
exact,0.35,0,80,0.00,0.00,6,true,31.689545,25.069545,74,0,0,0
exact,0.35,0,81,0.00,0.00,2,true,20.268675,12.358675,117,0,0,0
exact,0.35,0,82,0.00,0.00,5,true,28.706870,22.416870,63,0,0,0
exact,0.35,0,83,0.00,0.00,0,true,20.617638,12.077638,138,0,0,0
exact,0.35,0,84,0.00,0.00,2,true,22.029829,13.789829,128,0,0,0
exact,0.35,0,85,0.00,0.00,4,true,20.754077,13.684077,89,0,0,0
exact,0.35,0,86,0.00,0.00,4,true,23.624034,17.124034,70,0,0,0
exact,0.35,0,87,0.00,0.00,5,true,28.629500,21.109500,104,0,0,0
exact,0.35,0,88,0.00,0.00,6,true,33.878853,27.678853,60,0,0,0
exact,0.35,0,89,0.00,0.00,3,true,20.702212,12.612212,123,0,0,0
