active_probability,trial,seed,active_family_count,active_families,method,success,total_cost,path_cost,expansions,edge_checks,probes,invalid_executions,attempts,discovered
0.00,0,100000,0,,blind_repair,true,14.603451,10.883451,124,0,0,0,1,
0.00,0,100000,0,,family_repair,true,14.603451,10.883451,124,0,0,0,1,
0.00,0,100000,0,,edge_verifier,true,125.303451,10.883451,124,615,0,0,1,
0.00,0,100000,0,,acs,true,19.003451,10.883451,124,0,8,0,1,
0.00,0,100000,0,,oracle_signature,true,14.603451,10.883451,124,0,0,0,1,
0.00,1,100001,0,,blind_repair,true,14.839578,10.999578,128,0,0,0,1,
0.00,1,100001,0,,family_repair,true,14.839578,10.999578,128,0,0,0,1,
0.00,1,100001,0,,edge_verifier,true,129.139578,10.999578,128,635,0,0,1,
0.00,1,100001,0,,acs,true,19.239578,10.999578,128,0,8,0,1,
0.00,1,100001,0,,oracle_signature,true,14.839578,10.999578,128,0,0,0,1,
0.00,2,100002,0,,blind_repair,true,16.886511,12.806511,136,0,0,0,1,
0.00,2,100002,0,,family_repair,true,16.886511,12.806511,136,0,0,0,1,
0.00,2,100002,0,,edge_verifier,true,130.286511,12.806511,136,630,0,0,1,
0.00,2,100002,0,,acs,true,21.286511,12.806511,136,0,8,0,1,
0.00,2,100002,0,,oracle_signature,true,16.886511,12.806511,136,0,0,0,1,
0.00,3,100003,0,,blind_repair,true,16.944134,12.684134,142,0,0,0,1,
0.00,3,100003,0,,family_repair,true,16.944134,12.684134,142,0,0,0,1,
0.00,3,100003,0,,edge_verifier,true,130.344134,12.684134,142,630,0,0,1,
0.00,3,100003,0,,acs,true,21.344134,12.684134,142,0,8,0,1,
0.00,3,100003,0,,oracle_signature,true,16.944134,12.684134,142,0,0,0,1,
0.00,4,100004,0,,blind_repair,true,16.037864,11.897864,138,0,0,0,1,
0.00,4,100004,0,,family_repair,true,16.037864,11.897864,138,0,0,0,1,
0.00,4,100004,0,,edge_verifier,true,130.337864,11.897864,138,635,0,0,1,
0.00,4,100004,0,,acs,true,20.437864,11.897864,138,0,8,0,1,
0.00,4,100004,0,,oracle_signature,true,16.037864,11.897864,138,0,0,0,1,
0.00,5,100005,0,,blind_repair,true,15.458590,11.528590,131,0,0,0,1,
0.00,5,100005,0,,family_repair,true,15.458590,11.528590,131,0,0,0,1,
0.00,5,100005,0,,edge_verifier,true,127.958590,11.528590,131,625,0,0,1,
0.00,5,100005,0,,acs,true,19.858590,11.528590,131,0,8,0,1,
0.00,5,100005,0,,oracle_signature,true,15.458590,11.528590,131,0,0,0,1,
0.00,6,100006,0,,blind_repair,true,15.579767,11.739767,128,0,0,0,1,
0.00,6,100006,0,,family_repair,true,15.579767,11.739767,128,0,0,0,1,
0.00,6,100006,0,,edge_verifier,true,127.179767,11.739767,128,620,0,0,1,
0.00,6,100006,0,,acs,true,19.979767,11.739767,128,0,8,0,1,
0.00,6,100006,0,,oracle_signature,true,15.579767,11.739767,128,0,0,0,1,
0.00,7,100007,0,,blind_repair,true,14.924888,11.054888,129,0,0,0,1,
0.00,7,100007,0,,family_repair,true,14.924888,11.054888,129,0,0,0,1,
0.00,7,100007,0,,edge_verifier,true,128.324888,11.054888,129,630,0,0,1,
0.00,7,100007,0,,acs,true,19.324888,11.054888,129,0,8,0,1,
0.00,7,100007,0,,oracle_signature,true,14.924888,11.054888,129,0,0,0,1,
0.00,8,100008,0,,blind_repair,true,15.476202,11.576202,130,0,0,0,1,
0.00,8,100008,0,,family_repair,true,15.476202,11.576202,130,0,0,0,1,
0.00,8,100008,0,,edge_verifier,true,129.776202,11.576202,130,635,0,0,1,
0.00,8,100008,0,,acs,true,19.876202,11.576202,130,0,8,0,1,
0.00,8,100008,0,,oracle_signature,true,15.476202,11.576202,130,0,0,0,1,
0.00,9,100009,0,,blind_repair,true,16.365366,12.465366,130,0,0,0,1,
0.00,9,100009,0,,family_repair,true,16.365366,12.465366,130,0,0,0,1,
0.00,9,100009,0,,edge_verifier,true,127.965366,12.465366,130,620,0,0,1,
0.00,9,100009,0,,acs,true,20.765366,12.465366,130,0,8,0,1,
0.00,9,100009,0,,oracle_signature,true,16.365366,12.465366,130,0,0,0,1,
0.00,10,100010,0,,blind_repair,true,15.160146,11.140146,134,0,0,0,1,
0.00,10,100010,0,,family_repair,true,15.160146,11.140146,134,0,0,0,1,
0.00,10,100010,0,,edge_verifier,true,130.360146,11.140146,134,640,0,0,1,
0.00,10,100010,0,,acs,true,19.560146,11.140146,134,0,8,0,1,
0.00,10,100010,0,,oracle_signature,true,15.160146,11.140146,134,0,0,0,1,
0.00,11,100011,0,,blind_repair,true,14.802456,10.962456,128,0,0,0,1,
0.00,11,100011,0,,family_repair,true,14.802456,10.962456,128,0,0,0,1,
0.00,11,100011,0,,edge_verifier,true,127.302456,10.962456,128,625,0,0,1,
0.00,11,100011,0,,acs,true,19.202456,10.962456,128,0,8,0,1,
0.00,11,100011,0,,oracle_signature,true,14.802456,10.962456,128,0,0,0,1,
0.00,12,100012,0,,blind_repair,true,16.276880,12.136880,138,0,0,0,1,
0.00,12,100012,0,,family_repair,true,16.276880,12.136880,138,0,0,0,1,
0.00,12,100012,0,,edge_verifier,true,129.676880,12.136880,138,630,0,0,1,
0.00,12,100012,0,,acs,true,20.676880,12.136880,138,0,8,0,1,
0.00,12,100012,0,,oracle_signature,true,16.276880,12.136880,138,0,0,0,1,
0.00,13,100013,0,,blind_repair,true,16.260070,12.120070,138,0,0,0,1,
0.00,13,100013,0,,family_repair,true,16.260070,12.120070,138,0,0,0,1,
0.00,13,100013,0,,edge_verifier,true,130.560070,12.120070,138,635,0,0,1,
0.00,13,100013,0,,acs,true,20.660070,12.120070,138,0,8,0,1,
0.00,13,100013,0,,oracle_signature,true,16.260070,12.120070,138,0,0,0,1,
0.00,14,100014,0,,blind_repair,true,15.774852,11.814852,132,0,0,0,1,
0.00,14,100014,0,,family_repair,true,15.774852,11.814852,132,0,0,0,1,
0.00,14,100014,0,,edge_verifier,true,130.974852,11.814852,132,640,0,0,1,
0.00,14,100014,0,,acs,true,20.174852,11.814852,132,0,8,0,1,
0.00,14,100014,0,,oracle_signature,true,15.774852,11.814852,132,0,0,0,1,
0.00,15,100015,0,,blind_repair,true,15.195872,11.085872,137,0,0,0,1,
0.00,15,100015,0,,family_repair,true,15.195872,11.085872,137,0,0,0,1,
0.00,15,100015,0,,edge_verifier,true,130.395872,11.085872,137,640,0,0,1,
0.00,15,100015,0,,acs,true,19.595872,11.085872,137,0,8,0,1,
0.00,15,100015,0,,oracle_signature,true,15.195872,11.085872,137,0,0,0,1,
0.00,16,100016,0,,blind_repair,true,15.831015,11.871015,132,0,0,0,1,
0.00,16,100016,0,,family_repair,true,15.831015,11.871015,132,0,0,0,1,
0.00,16,100016,0,,edge_verifier,true,127.431015,11.871015,132,620,0,0,1,
0.00,16,100016,0,,acs,true,20.231015,11.871015,132,0,8,0,1,
0.00,16,100016,0,,oracle_signature,true,15.831015,11.871015,132,0,0,0,1,
0.00,17,100017,0,,blind_repair,true,13.899345,10.179345,124,0,0,0,1,
0.00,17,100017,0,,family_repair,true,13.899345,10.179345,124,0,0,0,1,
0.00,17,100017,0,,edge_verifier,true,124.599345,10.179345,124,615,0,0,1,
0.00,17,100017,0,,acs,true,18.299345,10.179345,124,0,8,0,1,
0.00,17,100017,0,,oracle_signature,true,13.899345,10.179345,124,0,0,0,1,
0.00,18,100018,0,,blind_repair,true,14.912892,10.772892,138,0,0,0,1,
0.00,18,100018,0,,family_repair,true,14.912892,10.772892,138,0,0,0,1,
0.00,18,100018,0,,edge_verifier,true,130.112892,10.772892,138,640,0,0,1,
0.00,18,100018,0,,acs,true,19.312892,10.772892,138,0,8,0,1,
0.00,18,100018,0,,oracle_signature,true,14.912892,10.772892,138,0,0,0,1,
0.00,19,100019,0,,blind_repair,true,14.314002,10.264002,135,0,0,0,1,
0.00,19,100019,0,,family_repair,true,14.314002,10.264002,135,0,0,0,1,
0.00,19,100019,0,,edge_verifier,true,128.614002,10.264002,135,635,0,0,1,
0.00,19,100019,0,,acs,true,18.714002,10.264002,135,0,8,0,1,
0.00,19,100019,0,,oracle_signature,true,14.314002,10.264002,135,0,0,0,1,
0.00,20,100020,0,,blind_repair,true,16.284594,12.054594,141,0,0,0,1,
0.00,20,100020,0,,family_repair,true,16.284594,12.054594,141,0,0,0,1,
0.00,20,100020,0,,edge_verifier,true,130.584594,12.054594,141,635,0,0,1,
0.00,20,100020,0,,acs,true,20.684594,12.054594,141,0,8,0,1,
0.00,20,100020,0,,oracle_signature,true,16.284594,12.054594,141,0,0,0,1,
0.00,21,100021,0,,blind_repair,true,16.315694,12.085694,141,0,0,0,1,
0.00,21,100021,0,,family_repair,true,16.315694,12.085694,141,0,0,0,1,
0.00,21,100021,0,,edge_verifier,true,129.715694,12.085694,141,630,0,0,1,
0.00,21,100021,0,,acs,true,20.715694,12.085694,141,0,8,0,1,
0.00,21,100021,0,,oracle_signature,true,16.315694,12.085694,141,0,0,0,1,
0.00,22,100022,0,,blind_repair,true,14.281811,10.561811,124,0,0,0,1,
0.00,22,100022,0,,family_repair,true,14.281811,10.561811,124,0,0,0,1,
0.00,22,100022,0,,edge_verifier,true,124.981811,10.561811,124,615,0,0,1,
0.00,22,100022,0,,acs,true,18.681811,10.561811,124,0,8,0,1,
0.00,22,100022,0,,oracle_signature,true,14.281811,10.561811,124,0,0,0,1,
0.00,23,100023,0,,blind_repair,true,17.875068,13.585068,143,0,0,0,1,
0.00,23,100023,0,,family_repair,true,17.875068,13.585068,143,0,0,0,1,
