scenario,false_negative_rate,false_positive_rate,trials,success_rate,median_total_cost,mean_invalid_executions,mean_missed_active_families,mean_false_positive_families
exact,0.00,0.00,900,1.0,22.141752,0.0,0.0,0.0
miss_0.02,0.02,0.00,900,0.9622222222222222,22.195414,0.03777777777777778,0.04111111111111111,0.0
miss_0.05,0.05,0.00,900,0.8866666666666667,22.391102,0.11333333333333333,0.14,0.0
miss_0.10,0.10,0.00,900,0.7655555555555555,22.940824,0.23444444444444446,0.3011111111111111,0.0
miss_0.20,0.20,0.00,900,0.5844444444444444,25.346153,0.41555555555555557,0.5988888888888889,0.0
false_positive_0.05,0.00,0.05,900,1.0,22.453326,0.0,0.0,0.2777777777777778
false_positive_0.10,0.00,0.10,900,1.0,22.923920000000003,0.0,0.0,0.49666666666666665
