probe_cost,invalid_execution_cost,verifier_cost,best_non_oracle,best_non_oracle_median,acs_median,acs_minus_best_non_oracle,acs_minus_edge_verifier,acs_minus_family_repair
0.35,1.00,0.80,acs,20.338024500000003,20.338024500000003,0.0,-436.9128665,-9.463434
0.35,18.00,0.03,acs,20.338024500000003,20.338024500000003,0.0,-14.350173499999997,-44.19416
0.35,18.00,0.08,acs,20.338024500000003,20.338024500000003,0.0,-42.491322499999995,-44.19416
0.35,18.00,0.18,acs,20.338024500000003,20.338024500000003,0.0,-96.5881705,-44.19416
0.35,18.00,0.40,acs,20.338024500000003,20.338024500000003,0.0,-217.5881705,-44.19416
0.35,18.00,0.80,acs,20.338024500000003,20.338024500000003,0.0,-436.9128665,-44.19416
0.35,4.00,0.03,acs,20.338024500000003,20.338024500000003,0.0,-14.350173499999997,-16.194159999999997
0.35,4.00,0.08,acs,20.338024500000003,20.338024500000003,0.0,-42.491322499999995,-16.194159999999997
0.35,4.00,0.18,acs,20.338024500000003,20.338024500000003,0.0,-96.5881705,-16.194159999999997
0.35,4.00,0.40,acs,20.338024500000003,20.338024500000003,0.0,-217.5881705,-16.194159999999997
0.35,4.00,0.80,acs,20.338024500000003,20.338024500000003,0.0,-436.9128665,-16.194159999999997
0.35,40.00,0.03,acs,20.338024500000003,20.338024500000003,0.0,-14.350173499999997,-88.19416
0.35,40.00,0.08,acs,20.338024500000003,20.338024500000003,0.0,-42.491322499999995,-88.19416
0.35,40.00,0.18,acs,20.338024500000003,20.338024500000003,0.0,-96.5881705,-88.19416
0.35,40.00,0.40,acs,20.338024500000003,20.338024500000003,0.0,-217.5881705,-88.19416
0.35,40.00,0.80,acs,20.338024500000003,20.338024500000003,0.0,-436.9128665,-88.19416
0.35,8.00,0.03,acs,20.338024500000003,20.338024500000003,0.0,-14.350173499999997,-24.194159999999997
0.35,8.00,0.08,acs,20.338024500000003,20.338024500000003,0.0,-42.491322499999995,-24.194159999999997
0.35,8.00,0.18,acs,20.338024500000003,20.338024500000003,0.0,-96.5881705,-24.194159999999997
0.35,8.00,0.40,acs,20.338024500000003,20.338024500000003,0.0,-217.5881705,-24.194159999999997
0.35,8.00,0.80,acs,20.338024500000003,20.338024500000003,0.0,-436.9128665,-24.194159999999997
0.35,80.00,0.03,acs,20.338024500000003,20.338024500000003,0.0,-14.350173499999997,-168.19416
0.35,80.00,0.08,acs,20.338024500000003,20.338024500000003,0.0,-42.491322499999995,-168.19416
0.35,80.00,0.18,acs,20.338024500000003,20.338024500000003,0.0,-96.5881705,-168.19416
0.35,80.00,0.40,acs,20.338024500000003,20.338024500000003,0.0,-217.5881705,-168.19416
0.35,80.00,0.80,acs,20.338024500000003,20.338024500000003,0.0,-436.9128665,-168.19416
0.55,1.00,0.03,acs,21.9380245,21.9380245,0.0,-12.750173499999999,-7.863434000000002
0.55,1.00,0.08,acs,21.9380245,21.9380245,0.0,-40.8913225,-7.863434000000002
0.55,1.00,0.18,acs,21.9380245,21.9380245,0.0,-94.98817050000001,-7.863434000000002
0.55,1.00,0.40,acs,21.9380245,21.9380245,0.0,-215.9881705,-7.863434000000002
0.55,1.00,0.80,acs,21.9380245,21.9380245,0.0,-435.31286650000004,-7.863434000000002
0.55,18.00,0.03,acs,21.9380245,21.9380245,0.0,-12.750173499999999,-42.59416
0.55,18.00,0.08,acs,21.9380245,21.9380245,0.0,-40.8913225,-42.59416
0.55,18.00,0.18,acs,21.9380245,21.9380245,0.0,-94.98817050000001,-42.59416
0.55,18.00,0.40,acs,21.9380245,21.9380245,0.0,-215.9881705,-42.59416
0.55,18.00,0.80,acs,21.9380245,21.9380245,0.0,-435.31286650000004,-42.59416
0.55,4.00,0.03,acs,21.9380245,21.9380245,0.0,-12.750173499999999,-14.594159999999999
0.55,4.00,0.08,acs,21.9380245,21.9380245,0.0,-40.8913225,-14.594159999999999
0.55,4.00,0.18,acs,21.9380245,21.9380245,0.0,-94.98817050000001,-14.594159999999999
0.55,4.00,0.40,acs,21.9380245,21.9380245,0.0,-215.9881705,-14.594159999999999
0.55,4.00,0.80,acs,21.9380245,21.9380245,0.0,-435.31286650000004,-14.594159999999999
0.55,40.00,0.03,acs,21.9380245,21.9380245,0.0,-12.750173499999999,-86.59416
0.55,40.00,0.08,acs,21.9380245,21.9380245,0.0,-40.8913225,-86.59416
0.55,40.00,0.18,acs,21.9380245,21.9380245,0.0,-94.98817050000001,-86.59416
0.55,40.00,0.40,acs,21.9380245,21.9380245,0.0,-215.9881705,-86.59416
0.55,40.00,0.80,acs,21.9380245,21.9380245,0.0,-435.31286650000004,-86.59416
0.55,8.00,0.03,acs,21.9380245,21.9380245,0.0,-12.750173499999999,-22.59416
0.55,8.00,0.08,acs,21.9380245,21.9380245,0.0,-40.8913225,-22.59416
0.55,8.00,0.18,acs,21.9380245,21.9380245,0.0,-94.98817050000001,-22.59416
0.55,8.00,0.40,acs,21.9380245,21.9380245,0.0,-215.9881705,-22.59416
0.55,8.00,0.80,acs,21.9380245,21.9380245,0.0,-435.31286650000004,-22.59416
0.55,80.00,0.03,acs,21.9380245,21.9380245,0.0,-12.750173499999999,-166.59416
0.55,80.00,0.08,acs,21.9380245,21.9380245,0.0,-40.8913225,-166.59416
0.55,80.00,0.18,acs,21.9380245,21.9380245,0.0,-94.98817050000001,-166.59416
0.55,80.00,0.40,acs,21.9380245,21.9380245,0.0,-215.9881705,-166.59416
0.55,80.00,0.80,acs,21.9380245,21.9380245,0.0,-435.31286650000004,-166.59416
1.00,1.00,0.03,acs,25.5380245,25.5380245,0.0,-9.150173500000001,-4.263434000000004
1.00,1.00,0.08,acs,25.5380245,25.5380245,0.0,-37.2913225,-4.263434000000004
1.00,1.00,0.18,acs,25.5380245,25.5380245,0.0,-91.3881705,-4.263434000000004
1.00,1.00,0.40,acs,25.5380245,25.5380245,0.0,-212.3881705,-4.263434000000004
1.00,1.00,0.80,acs,25.5380245,25.5380245,0.0,-431.7128665,-4.263434000000004
1.00,18.00,0.03,acs,25.5380245,25.5380245,0.0,-9.150173500000001,-38.99416
1.00,18.00,0.08,acs,25.5380245,25.5380245,0.0,-37.2913225,-38.99416
1.00,18.00,0.18,acs,25.5380245,25.5380245,0.0,-91.3881705,-38.99416
1.00,18.00,0.40,acs,25.5380245,25.5380245,0.0,-212.3881705,-38.99416
1.00,18.00,0.80,acs,25.5380245,25.5380245,0.0,-431.7128665,-38.99416
1.00,4.00,0.03,acs,25.5380245,25.5380245,0.0,-9.150173500000001,-10.99416
1.00,4.00,0.08,acs,25.5380245,25.5380245,0.0,-37.2913225,-10.99416
1.00,4.00,0.18,acs,25.5380245,25.5380245,0.0,-91.3881705,-10.99416
1.00,4.00,0.40,acs,25.5380245,25.5380245,0.0,-212.3881705,-10.99416
1.00,4.00,0.80,acs,25.5380245,25.5380245,0.0,-431.7128665,-10.99416
1.00,40.00,0.03,acs,25.5380245,25.5380245,0.0,-9.150173500000001,-82.99416
1.00,40.00,0.08,acs,25.5380245,25.5380245,0.0,-37.2913225,-82.99416
1.00,40.00,0.18,acs,25.5380245,25.5380245,0.0,-91.3881705,-82.99416
1.00,40.00,0.40,acs,25.5380245,25.5380245,0.0,-212.3881705,-82.99416
1.00,40.00,0.80,acs,25.5380245,25.5380245,0.0,-431.7128665,-82.99416
1.00,8.00,0.03,acs,25.5380245,25.5380245,0.0,-9.150173500000001,-18.99416
1.00,8.00,0.08,acs,25.5380245,25.5380245,0.0,-37.2913225,-18.99416
1.00,8.00,0.18,acs,25.5380245,25.5380245,0.0,-91.3881705,-18.99416
1.00,8.00,0.40,acs,25.5380245,25.5380245,0.0,-212.3881705,-18.99416
1.00,8.00,0.80,acs,25.5380245,25.5380245,0.0,-431.7128665,-18.99416
1.00,80.00,0.03,acs,25.5380245,25.5380245,0.0,-9.150173500000001,-162.99416
1.00,80.00,0.08,acs,25.5380245,25.5380245,0.0,-37.2913225,-162.99416
1.00,80.00,0.18,acs,25.5380245,25.5380245,0.0,-91.3881705,-162.99416
1.00,80.00,0.40,acs,25.5380245,25.5380245,0.0,-212.3881705,-162.99416
1.00,80.00,0.80,acs,25.5380245,25.5380245,0.0,-431.7128665,-162.99416
2.00,1.00,0.03,family_repair,29.801458500000003,33.5380245,3.7365659999999963,-1.150173500000001,3.7365659999999963
2.00,1.00,0.08,family_repair,29.801458500000003,33.5380245,3.7365659999999963,-29.2913225,3.7365659999999963
2.00,1.00,0.18,family_repair,29.801458500000003,33.5380245,3.7365659999999963,-83.3881705,3.7365659999999963
2.00,1.00,0.40,family_repair,29.801458500000003,33.5380245,3.7365659999999963,-204.3881705,3.7365659999999963
2.00,1.00,0.80,family_repair,29.801458500000003,33.5380245,3.7365659999999963,-423.7128665,3.7365659999999963
2.00,18.00,0.03,acs,33.5380245,33.5380245,0.0,-1.150173500000001,-30.99416
2.00,18.00,0.08,acs,33.5380245,33.5380245,0.0,-29.2913225,-30.99416
2.00,18.00,0.18,acs,33.5380245,33.5380245,0.0,-83.3881705,-30.99416
2.00,18.00,0.40,acs,33.5380245,33.5380245,0.0,-204.3881705,-30.99416
2.00,18.00,0.80,acs,33.5380245,33.5380245,0.0,-423.7128665,-30.99416
2.00,4.00,0.03,acs,33.5380245,33.5380245,0.0,-1.150173500000001,-2.994160000000001
2.00,4.00,0.08,acs,33.5380245,33.5380245,0.0,-29.2913225,-2.994160000000001
2.00,4.00,0.18,acs,33.5380245,33.5380245,0.0,-83.3881705,-2.994160000000001
2.00,4.00,0.40,acs,33.5380245,33.5380245,0.0,-204.3881705,-2.994160000000001
2.00,4.00,0.80,acs,33.5380245,33.5380245,0.0,-423.7128665,-2.994160000000001
2.00,40.00,0.03,acs,33.5380245,33.5380245,0.0,-1.150173500000001,-74.99416
2.00,40.00,0.08,acs,33.5380245,33.5380245,0.0,-29.2913225,-74.99416
2.00,40.00,0.18,acs,33.5380245,33.5380245,0.0,-83.3881705,-74.99416
2.00,40.00,0.40,acs,33.5380245,33.5380245,0.0,-204.3881705,-74.99416
2.00,40.00,0.80,acs,33.5380245,33.5380245,0.0,-423.7128665,-74.99416
2.00,8.00,0.03,acs,33.5380245,33.5380245,0.0,-1.150173500000001,-10.99416
2.00,8.00,0.08,acs,33.5380245,33.5380245,0.0,-29.2913225,-10.99416
2.00,8.00,0.18,acs,33.5380245,33.5380245,0.0,-83.3881705,-10.99416
2.00,8.00,0.40,acs,33.5380245,33.5380245,0.0,-204.3881705,-10.99416
2.00,8.00,0.80,acs,33.5380245,33.5380245,0.0,-423.7128665,-10.99416
2.00,80.00,0.03,acs,33.5380245,33.5380245,0.0,-1.150173500000001,-154.99416
2.00,80.00,0.08,acs,33.5380245,33.5380245,0.0,-29.2913225,-154.99416
2.00,80.00,0.18,acs,33.5380245,33.5380245,0.0,-83.3881705,-154.99416
2.00,80.00,0.40,acs,33.5380245,33.5380245,0.0,-204.3881705,-154.99416
2.00,80.00,0.80,acs,33.5380245,33.5380245,0.0,-423.7128665,-154.99416
4.00,1.00,0.03,family_repair,29.801458500000003,49.5380245,19.736565999999996,14.849826499999999,19.736565999999996
4.00,1.00,0.08,family_repair,29.801458500000003,49.5380245,19.736565999999996,-13.2913225,19.736565999999996
4.00,1.00,0.18,family_repair,29.801458500000003,49.5380245,19.736565999999996,-67.3881705,19.736565999999996
4.00,1.00,0.40,family_repair,29.801458500000003,49.5380245,19.736565999999996,-188.3881705,19.736565999999996
4.00,1.00,0.80,family_repair,29.801458500000003,49.5380245,19.736565999999996,-407.7128665,19.736565999999996
4.00,18.00,0.03,edge_verifier,34.688198,49.5380245,14.849826499999999,14.849826499999999,-14.99416
4.00,18.00,0.08,acs,49.5380245,49.5380245,0.0,-13.2913225,-14.99416
4.00,18.00,0.18,acs,49.5380245,49.5380245,0.0,-67.3881705,-14.99416
4.00,18.00,0.40,acs,49.5380245,49.5380245,0.0,-188.3881705,-14.99416
4.00,18.00,0.80,acs,49.5380245,49.5380245,0.0,-407.7128665,-14.99416
4.00,4.00,0.03,edge_verifier,34.688198,49.5380245,14.849826499999999,14.849826499999999,13.00584
4.00,4.00,0.08,family_repair,36.5321845,49.5380245,13.00584,-13.2913225,13.00584
4.00,4.00,0.18,family_repair,36.5321845,49.5380245,13.00584,-67.3881705,13.00584
4.00,4.00,0.40,family_repair,36.5321845,49.5380245,13.00584,-188.3881705,13.00584
4.00,4.00,0.80,family_repair,36.5321845,49.5380245,13.00584,-407.7128665,13.00584
4.00,40.00,0.03,edge_verifier,34.688198,49.5380245,14.849826499999999,14.849826499999999,-58.99416
4.00,40.00,0.08,acs,49.5380245,49.5380245,0.0,-13.2913225,-58.99416
4.00,40.00,0.18,acs,49.5380245,49.5380245,0.0,-67.3881705,-58.99416
4.00,40.00,0.40,acs,49.5380245,49.5380245,0.0,-188.3881705,-58.99416
4.00,40.00,0.80,acs,49.5380245,49.5380245,0.0,-407.7128665,-58.99416
4.00,8.00,0.03,edge_verifier,34.688198,49.5380245,14.849826499999999,14.849826499999999,5.005839999999999
4.00,8.00,0.08,family_repair,44.5321845,49.5380245,5.005839999999999,-13.2913225,5.005839999999999
4.00,8.00,0.18,family_repair,44.5321845,49.5380245,5.005839999999999,-67.3881705,5.005839999999999
4.00,8.00,0.40,family_repair,44.5321845,49.5380245,5.005839999999999,-188.3881705,5.005839999999999
4.00,8.00,0.80,family_repair,44.5321845,49.5380245,5.005839999999999,-407.7128665,5.005839999999999
4.00,80.00,0.03,edge_verifier,34.688198,49.5380245,14.849826499999999,14.849826499999999,-138.99416
4.00,80.00,0.08,acs,49.5380245,49.5380245,0.0,-13.2913225,-138.99416
4.00,80.00,0.18,acs,49.5380245,49.5380245,0.0,-67.3881705,-138.99416
4.00,80.00,0.40,acs,49.5380245,49.5380245,0.0,-188.3881705,-138.99416
4.00,80.00,0.80,acs,49.5380245,49.5380245,0.0,-407.7128665,-138.99416
