probe_cost,invalid_execution_cost,verifier_cost,best_non_oracle,best_non_oracle_median,acs_median,acs_minus_best_non_oracle,acs_minus_edge_verifier,acs_minus_family_repair
0.15,1.00,0.03,acs,18.7380245,18.7380245,0.0,-15.950173499999998,-11.063434
0.15,1.00,0.08,acs,18.7380245,18.7380245,0.0,-44.0913225,-11.063434
0.15,1.00,0.18,acs,18.7380245,18.7380245,0.0,-98.18817050000001,-11.063434
0.15,1.00,0.40,acs,18.7380245,18.7380245,0.0,-219.1881705,-11.063434
0.15,1.00,0.80,acs,18.7380245,18.7380245,0.0,-438.51286650000003,-11.063434
0.15,18.00,0.03,acs,18.7380245,18.7380245,0.0,-15.950173499999998,-45.79416
0.15,18.00,0.08,acs,18.7380245,18.7380245,0.0,-44.0913225,-45.79416
0.15,18.00,0.18,acs,18.7380245,18.7380245,0.0,-98.18817050000001,-45.79416
0.15,18.00,0.40,acs,18.7380245,18.7380245,0.0,-219.1881705,-45.79416
0.15,18.00,0.80,acs,18.7380245,18.7380245,0.0,-438.51286650000003,-45.79416
0.15,4.00,0.03,acs,18.7380245,18.7380245,0.0,-15.950173499999998,-17.794159999999998
0.15,4.00,0.08,acs,18.7380245,18.7380245,0.0,-44.0913225,-17.794159999999998
0.15,4.00,0.18,acs,18.7380245,18.7380245,0.0,-98.18817050000001,-17.794159999999998
0.15,4.00,0.40,acs,18.7380245,18.7380245,0.0,-219.1881705,-17.794159999999998
0.15,4.00,0.80,acs,18.7380245,18.7380245,0.0,-438.51286650000003,-17.794159999999998
0.15,40.00,0.03,acs,18.7380245,18.7380245,0.0,-15.950173499999998,-89.79416
0.15,40.00,0.08,acs,18.7380245,18.7380245,0.0,-44.0913225,-89.79416
0.15,40.00,0.18,acs,18.7380245,18.7380245,0.0,-98.18817050000001,-89.79416
0.15,40.00,0.40,acs,18.7380245,18.7380245,0.0,-219.1881705,-89.79416
0.15,40.00,0.80,acs,18.7380245,18.7380245,0.0,-438.51286650000003,-89.79416
0.15,8.00,0.03,acs,18.7380245,18.7380245,0.0,-15.950173499999998,-25.794159999999998
0.15,8.00,0.08,acs,18.7380245,18.7380245,0.0,-44.0913225,-25.794159999999998
0.15,8.00,0.18,acs,18.7380245,18.7380245,0.0,-98.18817050000001,-25.794159999999998
0.15,8.00,0.40,acs,18.7380245,18.7380245,0.0,-219.1881705,-25.794159999999998
0.15,8.00,0.80,acs,18.7380245,18.7380245,0.0,-438.51286650000003,-25.794159999999998
0.15,80.00,0.03,acs,18.7380245,18.7380245,0.0,-15.950173499999998,-169.79416
0.15,80.00,0.08,acs,18.7380245,18.7380245,0.0,-44.0913225,-169.79416
0.15,80.00,0.18,acs,18.7380245,18.7380245,0.0,-98.18817050000001,-169.79416
0.15,80.00,0.40,acs,18.7380245,18.7380245,0.0,-219.1881705,-169.79416
0.15,80.00,0.80,acs,18.7380245,18.7380245,0.0,-438.51286650000003,-169.79416
0.35,1.00,0.03,acs,20.338024500000003,20.338024500000003,0.0,-14.350173499999997,-9.463434
0.35,1.00,0.08,acs,20.338024500000003,20.338024500000003,0.0,-42.491322499999995,-9.463434
0.35,1.00,0.18,acs,20.338024500000003,20.338024500000003,0.0,-96.5881705,-9.463434
0.35,1.00,0.40,acs,20.338024500000003,20.338024500000003,0.0,-217.5881705,-9.463434
