suite,profile,condition,variant,active_probability,trial,seed,method,success,total_cost,path_cost,expansions,edge_checks,probes,invalid_executions,attempts,active_family_count,active_families,discovered_count,missed_active_families,false_positive_families,extra
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,0,5000000,acs_false_positive,true,20.370240,12.040240,131,0,8,0,1,0,,1,0,1,"{""bridge_layer"": null, ""false_positive_family"": ""narrow_passage""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,0,5000000,acs_abstain_to_verifier,true,20.370240,12.040240,131,0,8,0,1,0,,1,0,1,"{""bridge_layer"": null, ""false_positive_family"": ""narrow_passage""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,0,5000000,edge_verifier,true,130.510240,12.040240,139,635,0,0,1,0,,0,,,"{""bridge_layer"": null, ""false_positive_family"": ""narrow_passage""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,0,5000000,oracle_signature,true,16.210240,12.040240,139,0,0,0,1,0,,0,,,"{""bridge_layer"": null, ""false_positive_family"": ""narrow_passage""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,1,5000001,acs_false_positive,true,20.065424,11.945424,124,0,8,0,1,0,,1,0,1,"{""bridge_layer"": null, ""false_positive_family"": ""low_light_perception""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,1,5000001,acs_abstain_to_verifier,true,20.065424,11.945424,124,0,8,0,1,0,,1,0,1,"{""bridge_layer"": null, ""false_positive_family"": ""low_light_perception""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,1,5000001,edge_verifier,true,123.326086,11.366086,132,600,0,0,1,0,,0,,,"{""bridge_layer"": null, ""false_positive_family"": ""low_light_perception""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,1,5000001,oracle_signature,true,15.326086,11.366086,132,0,0,0,1,0,,0,,,"{""bridge_layer"": null, ""false_positive_family"": ""low_light_perception""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,2,5000002,acs_false_positive,true,21.089187,12.879187,127,0,8,0,1,0,,1,0,1,"{""bridge_layer"": null, ""false_positive_family"": ""human_exclusion""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,2,5000002,acs_abstain_to_verifier,true,21.089187,12.879187,127,0,8,0,1,0,,1,0,1,"{""bridge_layer"": null, ""false_positive_family"": ""human_exclusion""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,2,5000002,edge_verifier,true,127.768836,12.088836,136,620,0,0,1,0,,0,,,"{""bridge_layer"": null, ""false_positive_family"": ""human_exclusion""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,2,5000002,oracle_signature,true,16.168836,12.088836,136,0,0,0,1,0,,0,,,"{""bridge_layer"": null, ""false_positive_family"": ""human_exclusion""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,3,5000003,acs_false_positive,true,19.703648,12.273648,101,0,8,0,1,2,payload_limit|sealed_container,3,0,1,"{""bridge_layer"": null, ""false_positive_family"": ""low_light_perception""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,3,5000003,acs_abstain_to_verifier,true,19.703648,12.273648,101,0,8,0,1,2,payload_limit|sealed_container,3,0,1,"{""bridge_layer"": null, ""false_positive_family"": ""low_light_perception""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,3,5000003,edge_verifier,true,120.453648,12.273648,126,580,0,0,1,2,payload_limit|sealed_container,0,,,"{""bridge_layer"": null, ""false_positive_family"": ""low_light_perception""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,3,5000003,oracle_signature,true,16.053648,12.273648,126,0,0,0,1,2,payload_limit|sealed_container,2,0,0,"{""bridge_layer"": null, ""false_positive_family"": ""low_light_perception""}"
false_positive_stress,baseline,ordinary_false_positive,false_positive_completeness,0.10,4,5000004,acs_false_positive,true,20.125851,12.185851,118,0,8,0,1,0,,1,0,1,"{""bridge_layer"": null, ""false_positive_family"": ""human_exclusion""}"
