probe_cost,invalid_execution_cost,verifier_cost,method,trials,median_total_cost,mean_total_cost,p25_total_cost,p75_total_cost
0.15,1.00,0.03,acs,168,18.7380245,20.224371922619042,17.445700249999998,21.771989749999996
0.15,1.00,0.03,acs_path_checked,168,19.008024499999998,20.49437192261904,17.715700249999998,22.04198975
0.15,1.00,0.03,blind_repair,168,73.630246,122.64252668452379,34.0689925,142.202201
0.15,1.00,0.03,edge_verifier,168,34.688198,35.03151477976193,32.993557,36.993729249999994
0.15,1.00,0.03,family_repair,168,29.801458500000003,30.86746716071428,22.69640925,35.4204095
0.15,1.00,0.03,lazy_path_verifier,168,64.340246,104.89830049404765,31.393054499999998,121.612201
0.15,1.00,0.03,oracle_signature,168,17.5380245,19.024371922619057,16.24570025,20.57198975
0.15,1.00,0.08,acs,168,18.7380245,20.224371922619042,17.445700249999998,21.771989749999996
0.15,1.00,0.08,acs_path_checked,168,19.4580245,20.944371922619045,18.165700249999997,22.491989749999995
0.15,1.00,0.08,blind_repair,168,73.630246,122.64252668452379,34.0689925,142.202201
0.15,1.00,0.08,edge_verifier,168,62.829347,61.71008620833335,58.939873000000006,65.63235275
0.15,1.00,0.08,family_repair,168,29.801458500000003,30.86746716071428,22.69640925,35.4204095
0.15,1.00,0.08,lazy_path_verifier,168,67.190246,110.31466954166672,32.26915275,127.71220100000002
0.15,1.00,0.08,oracle_signature,168,17.5380245,19.024371922619057,16.24570025,20.57198975
0.15,1.00,0.18,acs,168,18.7380245,20.224371922619042,17.445700249999998,21.771989749999996
0.15,1.00,0.18,acs_path_checked,168,20.3580245,21.844371922619054,19.06570025,23.39198975
0.15,1.00,0.18,blind_repair,168,73.630246,122.64252668452379,34.0689925,142.202201
0.15,1.00,0.18,edge_verifier,168,116.926195,115.0672290654762,108.60789299999999,124.17590825
0.15,1.00,0.18,family_repair,168,29.801458500000003,30.86746716071428,22.69640925,35.4204095
0.15,1.00,0.18,lazy_path_verifier,168,72.89024599999999,121.14740763690477,34.53567375,139.912201
0.15,1.00,0.18,oracle_signature,168,17.5380245,19.024371922619057,16.24570025,20.57198975
0.15,1.00,0.40,acs,168,18.7380245,20.224371922619042,17.445700249999998,21.771989749999996
0.15,1.00,0.40,acs_path_checked,168,22.338024500000003,23.824371922619058,21.04570025,25.37198975
0.15,1.00,0.40,blind_repair,168,73.630246,122.64252668452379,34.0689925,142.202201
0.15,1.00,0.40,edge_verifier,168,237.926195,232.45294335119036,214.98386499999998,254.2545025
0.15,1.00,0.40,family_repair,168,29.801458500000003,30.86746716071428,22.69640925,35.4204095
0.15,1.00,0.40,lazy_path_verifier,168,86.4696415,144.97943144642863,40.747063499999996,167.920362
0.15,1.00,0.40,oracle_signature,168,17.5380245,19.024371922619057,16.24570025,20.57198975
0.15,1.00,0.80,acs,168,18.7380245,20.224371922619042,17.445700249999998,21.771989749999996
0.15,1.00,0.80,acs_path_checked,168,25.938024499999997,27.424371922619045,24.645700249999997,28.97198975
0.15,1.00,0.80,blind_repair,168,73.630246,122.64252668452379,34.0689925,142.202201
0.15,1.00,0.80,edge_verifier,168,457.250891,445.88151477976197,410.98386500000004,491.5125734999999
0.15,1.00,0.80,family_repair,168,29.801458500000003,30.86746716071428,22.69640925,35.4204095
0.15,1.00,0.80,lazy_path_verifier,168,110.622862,188.31038382738086,51.737355750000006,218.989652
0.15,1.00,0.80,oracle_signature,168,17.5380245,19.024371922619057,16.24570025,20.57198975
0.15,4.00,0.03,acs,168,18.7380245,20.224371922619042,17.445700249999998,21.771989749999996
0.15,4.00,0.03,acs_path_checked,168,19.008024499999998,20.49437192261904,17.715700249999998,22.04198975
0.15,4.00,0.03,blind_repair,168,106.630246,185.62466954166666,43.18025899999999,214.577126
0.15,4.00,0.03,edge_verifier,168,34.688198,35.03151477976193,32.993557,36.993729249999994
0.15,4.00,0.03,family_repair,168,36.5321845,38.11746716071429,25.824966,44.50286925
0.15,4.00,0.03,lazy_path_verifier,168,64.340246,104.89830049404765,31.393054499999998,121.612201
0.15,4.00,0.03,oracle_signature,168,17.5380245,19.024371922619057,16.24570025,20.57198975
0.15,4.00,0.08,acs,168,18.7380245,20.224371922619042,17.445700249999998,21.771989749999996
0.15,4.00,0.08,acs_path_checked,168,19.4580245,20.944371922619045,18.165700249999997,22.491989749999995
0.15,4.00,0.08,blind_repair,168,106.630246,185.62466954166666,43.18025899999999,214.577126
0.15,4.00,0.08,edge_verifier,168,62.829347,61.71008620833335,58.939873000000006,65.63235275
0.15,4.00,0.08,family_repair,168,36.5321845,38.11746716071429,25.824966,44.50286925
0.15,4.00,0.08,lazy_path_verifier,168,67.190246,110.31466954166672,32.26915275,127.71220100000002
0.15,4.00,0.08,oracle_signature,168,17.5380245,19.024371922619057,16.24570025,20.57198975
0.15,4.00,0.18,acs,168,18.7380245,20.224371922619042,17.445700249999998,21.771989749999996
0.15,4.00,0.18,acs_path_checked,168,20.3580245,21.844371922619054,19.06570025,23.39198975
