suite,profile,condition,variant,active_probability,trial,seed,method,success,total_cost,path_cost,expansions,edge_checks,probes,invalid_executions,attempts,active_family_count,active_families,discovered_count,missed_active_families,false_positive_families,extra
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,0,6000000,blind_repair,true,106.725413,13.245413,716,0,0,4,5,1,sealed_container,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,0,6000000,family_repair,true,39.585413,13.245413,278,0,0,1,2,1,sealed_container,1,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,0,6000000,lazy_path_verifier,true,39.585413,13.245413,716,27,0,0,5,1,sealed_container,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,0,6000000,edge_verifier,true,128.025413,13.245413,136,615,0,0,1,1,sealed_container,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,0,6000000,acs,true,21.725413,13.245413,136,0,8,0,1,1,sealed_container,1,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,0,6000000,acs_path_checked,true,23.345413,13.245413,136,9,8,0,1,1,sealed_container,1,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,0,6000000,oracle_signature,true,17.325413,13.245413,136,0,0,0,1,1,sealed_container,1,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,1,6000001,blind_repair,true,328.546706,13.186706,2112,0,0,14,15,2,payload_limit|wet_floor,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,1,6000001,family_repair,true,61.546706,13.186706,412,0,0,2,3,2,payload_limit|wet_floor,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,1,6000001,lazy_path_verifier,true,90.946706,13.186706,2112,80,0,0,15,2,payload_limit|wet_floor,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,1,6000001,edge_verifier,true,125.266706,13.186706,136,600,0,0,1,2,payload_limit|wet_floor,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,1,6000001,acs,true,21.666706,13.186706,136,0,8,0,1,2,payload_limit|wet_floor,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,1,6000001,acs_path_checked,true,23.286706,13.186706,136,9,8,0,1,2,payload_limit|wet_floor,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,1,6000001,oracle_signature,true,17.266706,13.186706,136,0,0,0,1,2,payload_limit|wet_floor,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,2,6000002,blind_repair,true,313.915581,18.985581,2031,0,0,13,14,3,human_exclusion|sealed_container|thermal_contact,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,2,6000002,family_repair,true,90.025581,18.985581,568,0,0,3,4,3,human_exclusion|sealed_container|thermal_contact,3,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,2,6000002,lazy_path_verifier,true,91.795581,18.985581,2031,66,0,0,14,3,human_exclusion|sealed_container|thermal_contact,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,2,6000002,edge_verifier,true,130.135581,18.985581,135,595,0,0,1,3,human_exclusion|sealed_container|thermal_contact,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,2,6000002,acs,true,27.435581,18.985581,135,0,8,0,1,3,human_exclusion|sealed_container|thermal_contact,3,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,2,6000002,acs_path_checked,true,29.055581,18.985581,135,9,8,0,1,3,human_exclusion|sealed_container|thermal_contact,3,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,2,6000002,oracle_signature,true,23.035581,18.985581,135,0,0,0,1,3,human_exclusion|sealed_container|thermal_contact,3,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,3,6000003,blind_repair,true,171.616264,13.156264,1082,0,0,7,8,3,fragile_payload|human_exclusion|sealed_container,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,3,6000003,family_repair,true,82.306264,13.156264,505,0,0,3,4,3,fragile_payload|human_exclusion|sealed_container,3,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,3,6000003,lazy_path_verifier,true,51.196264,13.156264,1082,31,0,0,8,3,fragile_payload|human_exclusion|sealed_container,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,3,6000003,edge_verifier,true,114.706264,13.156264,115,545,0,0,1,3,fragile_payload|human_exclusion|sealed_container,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,3,6000003,acs,true,21.006264,13.156264,115,0,8,0,1,3,fragile_payload|human_exclusion|sealed_container,3,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,3,6000003,acs_path_checked,true,22.626264,13.156264,115,9,8,0,1,3,fragile_payload|human_exclusion|sealed_container,3,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,3,6000003,oracle_signature,true,16.606264,13.156264,115,0,0,0,1,3,fragile_payload|human_exclusion|sealed_container,3,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,4,6000004,blind_repair,true,37.825825,12.145825,256,0,0,1,2,1,wet_floor,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,4,6000004,family_repair,true,37.765825,12.145825,254,0,0,1,2,1,wet_floor,1,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,4,6000004,lazy_path_verifier,true,21.625825,12.145825,256,10,0,0,2,1,wet_floor,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,4,6000004,edge_verifier,true,122.035825,12.145825,123,590,0,0,1,1,wet_floor,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,4,6000004,acs,true,20.235825,12.145825,123,0,8,0,1,1,wet_floor,1,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,4,6000004,acs_path_checked,true,21.855825,12.145825,123,9,8,0,1,1,wet_floor,1,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,4,6000004,oracle_signature,true,15.835825,12.145825,123,0,0,0,1,1,wet_floor,1,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,5,6000005,blind_repair,true,128.434672,14.254672,806,0,0,5,6,2,fragile_payload|sealed_container,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,5,6000005,family_repair,true,61.984672,14.254672,391,0,0,2,3,2,fragile_payload|sealed_container,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,5,6000005,lazy_path_verifier,true,42.574672,14.254672,806,23,0,0,6,2,fragile_payload|sealed_container,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,5,6000005,edge_verifier,true,122.254672,14.254672,120,580,0,0,1,2,fragile_payload|sealed_container,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,5,6000005,acs,true,22.254672,14.254672,120,0,8,0,1,2,fragile_payload|sealed_container,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,5,6000005,acs_path_checked,true,23.874672,14.254672,120,9,8,0,1,2,fragile_payload|sealed_container,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,5,6000005,oracle_signature,true,17.854672,14.254672,120,0,0,0,1,2,fragile_payload|sealed_container,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,6,6000006,blind_repair,true,101.882379,10.352379,651,0,0,4,5,2,human_exclusion|thermal_contact,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,6,6000006,family_repair,true,56.732379,10.352379,346,0,0,2,3,2,human_exclusion|thermal_contact,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,6,6000006,lazy_path_verifier,true,34.382379,10.352379,651,25,0,0,5,2,human_exclusion|thermal_contact,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,6,6000006,edge_verifier,true,101.522379,10.352379,99,490,0,0,1,2,human_exclusion|thermal_contact,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,6,6000006,acs,true,17.722379,10.352379,99,0,8,0,1,2,human_exclusion|thermal_contact,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,6,6000006,acs_path_checked,true,19.342379,10.352379,99,9,8,0,1,2,human_exclusion|thermal_contact,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,6,6000006,oracle_signature,true,13.322379,10.352379,99,0,0,0,1,2,human_exclusion|thermal_contact,2,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,7,6000007,blind_repair,true,418.115988,15.005988,2637,0,0,18,19,4,fragile_payload|human_exclusion|low_light_perception|thermal_contact,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,7,6000007,family_repair,true,83.735988,15.005988,491,0,0,3,4,4,fragile_payload|human_exclusion|low_light_perception|thermal_contact,4,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,7,6000007,lazy_path_verifier,true,110.855988,15.005988,2637,93,0,0,19,4,fragile_payload|human_exclusion|low_light_perception|thermal_contact,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,7,6000007,edge_verifier,true,106.505988,15.005988,110,490,0,0,1,4,fragile_payload|human_exclusion|low_light_perception|thermal_contact,0,,,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,7,6000007,acs,true,22.705988,15.005988,110,0,8,0,1,4,fragile_payload|human_exclusion|low_light_perception|thermal_contact,4,0,0,{}
cost_sensitivity_behavior,baseline,behavior_components,default_behavior,0.35,7,6000007,acs_path_checked,true,24.325988,15.005988,110,9,8,0,1,4,fragile_payload|human_exclusion|low_light_perception|thermal_contact,4,0,0,{}
